,VC Firm,Counts
0,Accel,4.0
1,All Blue Capital,3.0
2,Altimeter Capital,3.0
3,Andreessen Horowitz,3.0
4,Bain Capital Ventures,3.0
5,Bessemer Venture Partners,5.0
6,BlackRock,3.0
7,Employee Stock Option Fund (ESO Fund),3.0
8,EquityZen,5.0
9,Felicis Ventures,3.0
10,FundersClub,3.0
11,G Squared,4.0
12,GV,4.0
13,Goldman Sachs,3.0
14,Greylock Partners,4.0
15,Index Ventures,4.0
16,Kleiner Perkins,4.0
17,Light Street Capital,3.0
18,Lowercase Capital,3.0
19,SV Angel,9.0
20,Salesforce Ventures,5.0
21,Sequoia Capital,4.0
22,SharesPost Investment Management,4.0
23,Silicon Valley Bank,3.0
24,Spark Capital,3.0
25,T. Rowe Price,7.0
26,Techstars,3.0
27,Webb Investment Network,3.0
28,Wellington Management,7.0
29,Y Combinator,4.0
